"ID","DOT_WEB_ID","CASE_NUMBER","CRASH_YEAR","COUNTY","MUNICIPALITY","CRASH_DATE","CRASH_DAY_OF_WEEK","CRASH_MONTH","CRASH_TIME","POLICE_DEPT_CODE","POLICE_DEPARTMENT","POLICE_STATION","TOTAL_KILLED","TOTAL_INCAPACITATED","TOTAL_INJURED","PEDESTRIANS_KILLED","PEDESTRIANS_INJURED","SEVERITY","INTERSECTION","ALCOHOL_INVOLVED","HAZMAT_INVOLVED","CRASH_TYPE","TOTAL_VEHICLES_INVOLVED","CRASH_LOCATION","LOCATION_DIRECTION","ROUTE","ROUTE_SUFFIX","SRI","MILEPOST","ROAD_SYSTEM","ROAD_CHARACTER","ROAD_SURFACE_TYPE","SURFACE_CONDITION","LIGHT_CONDITION","ENVIRONMENTAL_CONDITION","ROAD_DIVIDED_BY","TEMP_TRAFFIC_CONTROL_ZONE","DISTANCE_TO_CROSS_STREET","UNIT_OF_MEASUREMENT","DIRECTION_FROM_CROSS_STREET","CROSS_STREET_NAME","IS_RAMP","RAMP_TO_FROM_ROUTE_NAME","RAMP_TO_FROM_ROUTE_DIRECTION","POSTED_SPEED","POSTED_SPEED_CROSS_STREET","LATITUDE","LONGITUDE","CELL_PHONE_IN_USE","OTHER_PROPERTY_DAMAGE","REPORTING_BADGE_NO","X","Y","CRASH_NARRATIVE","MPO","TOTAL_PEDESTRIANS_INVOLVED","EPDO","DLN"
4936283,"20051102OIT-05325536","OIT-05325536",2005,"MERCER","Ewing Township","7/4/2005 0:00","Monday","July","12/31/1899 1:04","1","EWING","T-1",1,0,0,0,0,"Fatal","At Intersection","No","No","Pedalcyclist",1,"HOMECREST AVE","NULL",NA,"","11021271",0.08,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"At","NULL","DOUGLAS AVENUE","NULL","","NULL",25,NA,40.24071,-74.77002,"No","NONE","705",416746.929531,512710.776661,NA,"DVRPC",0,"Fatal Injury",5325536
6812215,"2006110106-9758","Jun-58",2006,"MERCER","East Windsor Township","7/25/2006 0:00","Tuesday","July","12/31/1899 21:24","1","EAST WINDSOR TOWNSHIP","UNIFORM SERVIC?",1,0,1,0,0,"Fatal","Not At Intersection","No","No","Pedalcyclist",1,"US 130","North",130,"","130",68.52,"State Highway","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","Grass Median","None",250,"Foot","South","CR 571","NULL","","NULL",45,25,40.27146,-74.53944,"No","NONE","64",481118.733144,523800.043098,NA,"DVRPC",0,"Fatal Injury",6254933
4935669,"2005110105-4245","May-45",2005,"MERCER","East Windsor Township","4/1/2005 0:00","Friday","April","12/31/1899 15:34","1","EAST WINDSOR","TRAFFIC",0,0,1,0,0,"Injury","At Intersection","No","No","Pedalcyclist",1,"ROUTE 535","NULL",535,"","535",11.04,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","","NULL","","NULL",40,NA,40.28535,-74.56147,"No","NONE","27",474980.49,528868.45,NA,"DVRPC",0,"Pain",5073076
4935244,"2005110105-10980","05-10980",2005,"MERCER","East Windsor Township","8/13/2005 0:00","Saturday","August","12/31/1899 18:06","1","EAST WINDSOR","TRAFFIC",0,0,1,0,0,"Injury","At Intersection","No","No","Pedalcyclist",1,"NJ 33","NULL",33,"","33",15.52,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","Barrier Median","None",NA,"At","NULL","RT 133","NULL","","NULL",50,NA,40.26893,-74.50133,"No","NONE","27",491479.85,522884.64,NA,"DVRPC",0,"Moderate Injury",5242399
4935382,"2005110105-14116","05-14116",2005,"MERCER","East Windsor Township","10/16/2005 0:00","Sunday","October","12/31/1899 15:29","1","EAST WINDSOR POLICE","TRAFFIC",0,0,2,0,0,"Injury","At Intersection","No","No","Pedalcyclist",1,"US 130","NULL",130,"","130",69.79,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","OLD CRANBURY ROAD","NULL","","NULL",45,NA,40.28645,-74.52546,"No","","63",485023.96685,529262.682001,NA,"DVRPC",0,"Moderate Injury",5248053
4936490,"20051102T2005-1217","T2005-1217",2005,"MERCER","Ewing Township","12/12/2005 0:00","Monday","December","12/31/1899 18:00","1","EWING","P-1",0,0,1,0,1,"Injury","At Intersection","No","No","Pedalcyclist",1,"ROUTE 579","NULL",579,"","579",1.41,"County","Straight and Grade","Concrete","Icy","Dark (Street Lights On/ continuous)","Clear","Curbed Median","None",NA,"At","NULL","SILVIA STREET","NULL","","NULL",40,NA,40.25488,-74.81549,"No","NONE","146",404070.771346,517942.335155,NA,"DVRPC",1,"Pain",5307872
4937275,"20051102T2005-889","T2005-889",2005,"MERCER","Ewing Township","9/16/2005 0:00","Friday","September","12/31/1899 23:28","1","EWING","P4",0,0,1,0,0,"Injury","Not At Intersection","No","No","Pedalcyclist",1,"MERCER COUNTY 622","NULL",622,"","11000622",5.57,"County","Straight and Grade","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","Curbed Median","None",40,"Foot","East","RT 31","NULL","","NULL",40,NA,40.24989,-74.77579,"No","NONE","166",415108.065003,516069.620197,NA,"DVRPC",0,"Moderate Injury",5220765
4938943,"2005110305-40874","05-40874",2005,"MERCER","Hamilton Twp (Mercer Co)","9/20/2005 0:00","Tuesday","September","12/31/1899 6:58","1","HAMILTON","",0,0,1,0,0,"Injury","At Intersection","No","No","Pedalcyclist",1,"ROUTE 535","NULL",535,"","535",0.44,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","CR 614","NULL","","NULL",25,NA,40.23289,-74.73105,"No","NONE","330",427617.793054,509831.968561,NA,"DVRPC",0,"Pain",5214263
4938194,"2005110305-25779","05-25779",2005,"MERCER","Hamilton Twp (Mercer Co)","6/16/2005 0:00","Thursday","June","12/31/1899 11:45","1","HAMILTON TWSP","",0,0,1,0,0,"Injury","Not At Intersection","No","No","Pedalcyclist",1,"KLOCKNER RD","NULL",NA,"","11031976",2.82,"Municipal","Straight and Grade","Blacktop","Dry","Daylight","Clear","None","None",250,"Foot","East","LAMONT AVENUE","NULL","","NULL",40,NA,40.22587,-74.68982,"No","","364",439177.671146,507223.849177,NA,"DVRPC",0,"Pain",5136333
4938206,"2005110305-25973","05-25973",2005,"MERCER","Hamilton Twp (Mercer Co)","6/17/2005 0:00","Friday","June","12/31/1899 16:46","1","HAMILTON TWP","",0,0,1,0,0,"Injury","At Intersection","No","No","Pedalcyclist",1,"ROUTE 533","NULL",533,"","533",2.7,"County","Straight at Hillcrest","Blacktop","Dry","Daylight","Clear","None","None",10,"At","North","KLOCKNER ROAD","NULL","","NULL",45,NA,40.22494,-74.68709,"No","","351",439885.226951,506903.84795,NA,"DVRPC",0,"Pain",5136351
