"ID","DOT_WEB_ID","CASE_NUMBER","CRASH_YEAR","COUNTY","MUNICIPALITY","CRASH_DATE","CRASH_DAY_OF_WEEK","CRASH_MONTH","CRASH_TIME","POLICE_DEPT_CODE","POLICE_DEPARTMENT","POLICE_STATION","TOTAL_KILLED","TOTAL_INCAPACITATED","TOTAL_INJURED","PEDESTRIANS_KILLED","PEDESTRIANS_INJURED","SEVERITY","INTERSECTION","ALCOHOL_INVOLVED","HAZMAT_INVOLVED","CRASH_TYPE","TOTAL_VEHICLES_INVOLVED","CRASH_LOCATION","LOCATION_DIRECTION","ROUTE","ROUTE_SUFFIX","SRI","MILEPOST","ROAD_SYSTEM","ROAD_CHARACTER","ROAD_SURFACE_TYPE","SURFACE_CONDITION","LIGHT_CONDITION","ENVIRONMENTAL_CONDITION","ROAD_DIVIDED_BY","TEMP_TRAFFIC_CONTROL_ZONE","DISTANCE_TO_CROSS_STREET","UNIT_OF_MEASUREMENT","DIRECTION_FROM_CROSS_STREET","CROSS_STREET_NAME","IS_RAMP","RAMP_TO_FROM_ROUTE_NAME","RAMP_TO_FROM_ROUTE_DIRECTION","POSTED_SPEED","POSTED_SPEED_CROSS_STREET","LATITUDE","LONGITUDE","CELL_PHONE_IN_USE","OTHER_PROPERTY_DAMAGE","REPORTING_BADGE_NO","X","Y","CRASH_NARRATIVE","MPO","TOTAL_PEDESTRIANS_INVOLVED","EPDO","DLN"
3439047,"2010110110-01021","10-01021",2010,"MERCER","East Windsor Township","2010-02-23","Tuesday","February","07:58:00",1,"CRANBURY TWP PD","",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Same Direction - Rear End",2,"US 130","North",130,"","00000130",69.92,"State Highway","Straight and Level","Blacktop","Wet","Daylight","Rain","Curbed Median","None",5280,"Foot","South","CR 685 / OLD TRENTON RD","NULL","","NULL",55,45,40.28799,-74.52401,"No","","20",485424.858727,529820.330378,NA,"DVRPC",0,"PDO",10036741
3439048,"2010110110-10007","10-10007",2010,"MERCER","East Windsor Township","2010-07-21","Wednesday","July","12:16:00",1,"EAST WINDSOR TWP PD","UNIFORM SERVIC",0,0,0,0,0,"Property Damage","At Intersection","No","No","Right Angle",2,"US 130","South",130,"","00000130",68.97,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","Grass Median","None",NA,"At","NULL","TOWN CENTER RD","NULL","","NULL",50,35,40.27676,-74.53447,"No","","62",482505.88854,525729.994829,NA,"DVRPC",0,"PDO",10168553
3439053,"2010110110-10157","10-10157",2010,"MERCER","East Windsor Township","2010-07-24","Saturday","July","11:47:00",1,"EAST WINDSOR TWP PD","UNIFORM SERVIC",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Same Direction - Rear End",2,"US 130","North",130,"","00000130",69.6,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","Grass Median","None",1000,"Foot","South","OLD CRANBERRY RD","NULL","","NULL",50,40,40.28421,-74.52754,"No","","79",484441.302629,528444.327084,NA,"DVRPC",0,"PDO",10168552
3439056,"2010110110-10268","10-10268",2010,"MERCER","East Windsor Township","2010-07-26","Monday","July","16:02:00",1,"EAST WINDSOR TWP PD","TRAFFIC BUREAU",0,0,1,0,0,"Injury","At Intersection","No","No","Fixed Object",1,"NJ 33","East",33,"","00000033",15.06,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","RICHARDSON LN","NULL","","NULL",55,25,40.26888,-74.51027,"No","","72",489257.683218,522859.415521,NA,"DVRPC",0,"Moderate Injury",10168556
3439059,"2010110110-10320","10-10320",2010,"MERCER","East Windsor Township","2010-07-27","Tuesday","July","16:32:00",1,"EAST WINDSOR TWP PD","TRAFFIC BUREAU",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Same Direction - Rear End",2,"ROUTE 571","East",571,"","00000571",35.37,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",20,"Foot","West","US 130","NULL","","NULL",45,45,40.27297,-74.53814,"No","","72",481482.142732,524352.104332,NA,"DVRPC",0,"PDO",10168546
3439061,"2010110110-10345","10-10345",2010,"MERCER","East Windsor Township","2010-07-28","Wednesday","July","07:58:00",1,"EAST WINDSOR TWP PD","TRAFFIC SAFETY",0,0,0,0,0,"Property Damage","At Intersection","No","No","Same Direction - Rear End",2,"ROUTE 535","South",535,"","00000535",11.02,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","ROUTE 571 / PRINCETON HIGHSTSTOWN R","NULL","","NULL",45,55,40.2852,-74.5618,"No","","78",474883.357406,528808.66302,NA,"DVRPC",0,"PDO",10168557
3439065,"2010110110-10478","10-10478",2010,"MERCER","East Windsor Township","2010-07-30","Friday","July","17:28:00",1,"EAST WINDSOR TWP PD","TRAFFIC SAFETY",0,0,0,0,0,"Property Damage","At Intersection","No","No","Same Direction - Rear End",2,"ROUTE 571","East",571,"","00000571",36.61,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","NJ 133 / WINDSOR CENTER DR","NULL","","NULL",50,35,40.28263,-74.55781,"No","","78",475996.6,527874.34,NA,"DVRPC",0,"PDO",10173628
3439068,"2010110110-10537","10-10537",2010,"MERCER","East Windsor Township","2010-07-31","Saturday","July","14:51:00",1,"EAST WINDSOR TWP PD","TRAFFIC BUREAU",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Same Direction - Side Swipe",2,"US 130","South",130,"","00000130",68.59,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","Grass Median","None",100,"Foot","North","ROUTE 571 / PRCTN-WRSTN RD / STOCKT","NULL","","NULL",45,45,40.27227,-74.53866,"No","","72",481337.809662,524097.714254,NA,"DVRPC",0,"PDO",10168543
3439074,"2010110110-10634","10-10634",2010,"MERCER","East Windsor Township","2010-08-02","Monday","August","12:13:00",1,"EAST WINDSOR TWP PD","TRAFFIC BUREAU",0,0,5,0,0,"Injury","Not At Intersection","Yes","No","Opposite Direction - Head On/Angular",2,"ROUTE 571","East",571,"","00000571",31.91,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",200,"Foot","East","FELSHER RD","NULL","","NULL",50,35,40.24414,-74.49704,"No","","72",492951.06,513847.03,NA,"DVRPC",0,"Moderate Injury",10180483
3439076,"2010110110-10645","10-10645",2010,"MERCER","East Windsor Township","2010-08-02","Monday","August","15:31:00",1,"EAST WINDSOR TWP PD","TRAFFIC BUREAU",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Same Direction - Rear End",2,"US 130","South",130,"","00000130",67.59,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","Grass Median","None",500,"Foot","North","HICKORY CORNER RD","NULL","","NULL",45,40,40.25998,-74.54845,"No","","72",478602.692308,519620.395137,NA,"DVRPC",0,"PDO",10173639
