"ID","DOT_WEB_ID","CASE_NUMBER","CRASH_YEAR","COUNTY","MUNICIPALITY","CRASH_DATE","CRASH_DAY_OF_WEEK","CRASH_MONTH","CRASH_TIME","POLICE_DEPT_CODE","POLICE_DEPARTMENT","POLICE_STATION","TOTAL_KILLED","TOTAL_INCAPACITATED","TOTAL_INJURED","PEDESTRIANS_KILLED","PEDESTRIANS_INJURED","SEVERITY","INTERSECTION","ALCOHOL_INVOLVED","HAZMAT_INVOLVED","CRASH_TYPE","TOTAL_VEHICLES_INVOLVED","CRASH_LOCATION","LOCATION_DIRECTION","ROUTE","ROUTE_SUFFIX","SRI","MILEPOST","ROAD_SYSTEM","ROAD_CHARACTER","ROAD_SURFACE_TYPE","SURFACE_CONDITION","LIGHT_CONDITION","ENVIRONMENTAL_CONDITION","ROAD_DIVIDED_BY","TEMP_TRAFFIC_CONTROL_ZONE","DISTANCE_TO_CROSS_STREET","UNIT_OF_MEASUREMENT","DIRECTION_FROM_CROSS_STREET","CROSS_STREET_NAME","IS_RAMP","RAMP_TO_FROM_ROUTE_NAME","RAMP_TO_FROM_ROUTE_DIRECTION","POSTED_SPEED","POSTED_SPEED_CROSS_STREET","LATITUDE","LONGITUDE","CELL_PHONE_IN_USE","OTHER_PROPERTY_DAMAGE","REPORTING_BADGE_NO","X","Y","CRASH_NARRATIVE","MPO","TOTAL_PEDESTRIANS_INVOLVED","EPDO","DLN","LatitudeGeocoded","LongitudeGeocoded"
3439290,"2010110110-15549","10-15549",2010,"MERCER","East Windsor Township","2010-11-10","Wednesday","November","13:24:00",1,"EAST WINDSOR TWP PD","UNIFORM SERVIC?",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"319 ROUTE 130 NORTH","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","SHOP RITE PARKING LOT","NULL","","NULL",NA,NA,0,0,"No","NONE","542",NA,NA,NA,"DVRPC",1,"PDO",10251675,40.2799325,-74.5288098
3439367,"2010110110-1724","10-1724",2010,"MERCER","East Windsor Township","2010-02-09","Tuesday","February","18:43:00",1,"EAST WINDSOR TWP PD","TRAFFIC BUREAU",0,1,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"US 130","South",130,"","00000130",68.21,"State Highway","Straight and Level","Blacktop","Dry","Dusk","Clear","Grass Median","None",NA,"At","NULL","DUTCHNECK RD","NULL","","NULL",45,35,40.26783,-74.54292,"No","","72",480147.783055,522480.391572,NA,"DVRPC",1,"Incapacitating Injury",10030621,40.2687701,-74.5422688
3439506,"2010110110-4349","10-4349",2010,"MERCER","East Windsor Township","2010-03-31","Wednesday","March","19:48:00",1,"EAST WINDSOR TWP PD","TRAFFIC SAFETY?",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"NJ 33","West",33,"","00000033",16.35,"State Highway","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","Grass Median","None",NA,"At","NULL","TWINS RIVER DR NORTH / TWINS RIVER","NULL","","NULL",55,35,0,0,"No","","78",496185.430703,522253.809561,NA,"DVRPC",1,"Moderate Injury",10076087,40.2668811,-74.488073
3439544,"2010110110-545","10-545",2010,"MERCER","East Windsor Township","2010-01-13","Wednesday","January","11:09:00",1,"EAST WINDSOR TWP PD","UNIFORM SERVIC?",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"350 RT 130 N","North",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","","70",NA,NA,NA,"DVRPC",1,"Pain",10004806,40.2767086,-74.5354107
3439664,"2010110110-8206","10-8206",2010,"MERCER","East Windsor Township","2010-06-12","Saturday","June","10:56:00",1,"EAST WINDSOR TWP PD","UNIFORM SERVIC",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"DUTCH NECK RD","NULL",NA,"","11011144",0.081,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",50,"Foot","South","WILTSHIRE DRIVE","NULL","","NULL",35,25,0,0,"No","","82",480761.508516,522698.647131,NA,"DVRPC",1,"Moderate Injury",10138555,40.2687386,-74.5643099
3439676,"2010110110-8536","10-8536",2010,"MERCER","East Windsor Township","2010-06-18","Friday","June","18:29:00",1,"EAST WINDSOR TWP PD","PATROL",0,1,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"DUTCH NECK ROAD","West",NA,"","11131143",2.74,"Municipal","Curve and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"At","South","OAK CREEK ROAD","NULL","","NULL",30,30,0,0,"No","","77",476195.599949,523829.289836,NA,"DVRPC",1,"Incapacitating Injury",10138552,40.2714634,-74.5572099
3439705,"2010110110-9127","10-9127",2010,"MERCER","East Windsor Township","2010-07-01","Thursday","July","06:40:00",1,"EAST WINDSOR TWP PD","TRAFFIC SAFETY",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",2,"PROBASCO ROAD","South",NA,"","11011148",0.36,"Municipal","Curve and Level","Blacktop","Dry","Daylight","Clear","None","None",200,"Foot","South","BOLTON ROAD","NULL","","NULL",40,25,0,0,"No","","563",493743.593993,523866.869922,NA,"DVRPC",1,"Moderate Injury",10137704,40.2710708,-74.494237
3439709,"2010110110-9143","10-9143",2010,"MERCER","East Windsor Township","2010-07-01","Thursday","July","10:27:00",1,"EAST WINDSOR TWP PD","TRAFFIC SAFETY?",0,0,1,0,1,"Injury","Not At Intersection","No","No","Fixed Object",1,"521 ROUTE 130 NORTH","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","WINDOWS WERE SHATTERED WHEN VEHICLE COLLIDED INTO BUILDING","563",NA,NA,NA,"DVRPC",1,"Pain",10137710,40.2666414,-74.5434859
3440099,"20101102I-2010-002011","I-2010-002011",2010,"MERCER","Ewing Township","2010-01-20","Wednesday","January","21:16:00",1,"EWING TWP PD","SQUAD 1",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 636","NULL",636,"","11000636",1.04,"County","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",200,"Foot","North","PINGREE AVENUE","NULL","","NULL",35,25,40.24377,-74.77882,"No","","115",414295.243418,513833.211102,NA,"DVRPC",1,"Moderate Injury",10031675,40.243286,-74.779312
3440112,"20101102I-2010-002455","I-2010-002455",2010,"MERCER","Ewing Township","2010-01-25","Monday","January","08:20:00",1,"EWING TWP PD","PTL. 4A",0,0,4,0,2,"Injury","Not At Intersection","No","No","Pedestrian",1,"1980 OLDEN AV (SR STAR)","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Wet","Daylight","Rain","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","#128B-SENIOR STAR 1980 AVE EWING NJ","183",NA,NA,NA,"DVRPC",2,"Pain",10020892,40.246359,-74.764232
