ID,DOT_WEB_ID,CASE_NUMBER,CRASH_YEAR,COUNTY,MUNICIPALITY,CRASH_DATE,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_TIME,POLICE_DEPT_CODE,POLICE_DEPARTMENT,POLICE_STATION,TOTAL_KILLED,TOTAL_INCAPACITATED,TOTAL_INJURED,PEDESTRIANS_KILLED,PEDESTRIANS_INJURED,SEVERITY,INTERSECTION,ALCOHOL_INVOLVED,HAZMAT_INVOLVED,CRASH_TYPE,TOTAL_VEHICLES_INVOLVED,CRASH_LOCATION,LOCATION_DIRECTION,ROUTE,ROUTE_SUFFIX,SRI,MILEPOST,ROAD_SYSTEM,ROAD_CHARACTER,ROAD_SURFACE_TYPE,SURFACE_CONDITION,LIGHT_CONDITION,ENVIRONMENTAL_CONDITION,ROAD_DIVIDED_BY,TEMP_TRAFFIC_CONTROL_ZONE,DISTANCE_TO_CROSS_STREET,UNIT_OF_MEASUREMENT,DIRECTION_FROM_CROSS_STREET,CROSS_STREET_NAME,IS_RAMP,RAMP_TO_FROM_ROUTE_NAME,RAMP_TO_FROM_ROUTE_DIRECTION,POSTED_SPEED,POSTED_SPEED_CROSS_STREET,LATITUDE,LONGITUDE,CELL_PHONE_IN_USE,OTHER_PROPERTY_DAMAGE,REPORTING_BADGE_NO,X,Y,CRASH_NARRATIVE,MPO,TOTAL_PEDESTRIANS_INVOLVED,EPDO,DLN
4936283,20051102OIT-05325536,OIT-05325536,2005,MERCER,Ewing Township,7/4/2005 0:00,Monday,July,12/31/1899 1:04,1,EWING,T-1,1,0,0,0,0,Fatal,At Intersection,No,No,Pedalcyclist,1,HOMECREST AVE,NULL,,,11021271,0.08,Municipal,Straight and Level,Blacktop,Dry,Dark (Street Lights On/ continuous),Clear,None,None,,At,NULL,DOUGLAS AVENUE,NULL,,NULL,25,,40.24071,74.77002,No,NONE,705,416746.929531,512710.776661,,DVRPC,0,Fatal Injury,5325536
6812215,2006110106-9758,Jun-58,2006,MERCER,East Windsor Township,7/25/2006 0:00,Tuesday,July,12/31/1899 21:24,1,EAST WINDSOR TOWNSHIP,UNIFORM SERVIC?,1,0,1,0,0,Fatal,Not At Intersection,No,No,Pedalcyclist,1,US 130,North,130,,130,68.52,State Highway,Straight and Level,Blacktop,Dry,Dark (Street Lights On/ continuous),Clear,Grass Median,None,250,Foot,South,CR 571,NULL,,NULL,45,25,40.27146,74.53944,No,NONE,64,481118.733144,523800.043098,,DVRPC,0,Fatal Injury,6254933
6820026,2.006111101206E+018,1206006571,2006,MERCER,Trenton City,1/12/2006 0:00,Thursday,January,12/31/1899 12:09,1,TRENTON,CIB,1,0,0,0,0,Fatal,At Intersection,No,No,Pedalcyclist,1,MERCER COUNTY 622,South,622,,11000622,,County,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,CUNNINGHAM ALLEY,NULL,,NULL,25,,0,0,No,,421,,,,DVRPC,0,Fatal Injury,6134801
7119287,2007111007-15099,07-15099,2007,MERCER,Princeton Township,10/10/2007 0:00,Wednesday,October,12/31/1899 12:07,1,PRINCETON TOWNSHIP,,1,0,0,0,0,Fatal,At Intersection,No,No,Pedalcyclist,1,HARRISON ST,NULL,,,11091239,1.23,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,Curbed Median,None,,At,NULL,TERHUNE ROAD,NULL,,NULL,30,25,0,0,No,,103,449111.08273,558272.967426,,DVRPC,0,Fatal Injury,7259119
3439438,2010110110-2024,Oct-24,2010,MERCER,East Windsor Township,2/16/2010 0:00,Tuesday,February,12/31/1899 12:36,1,EAST WINDSOR TWP PD,UNIFORM SERVICE,1,0,1,0,0,Fatal,At Intersection,Yes,No,Pedalcyclist,1,DUTCH NECK RD,West,,,,,Municipal,Curve and Level,Blacktop,Wet,Daylight,Snow,None,None,,At,NULL,WILMOR DRIVE,NULL,,NULL,30,25,0,0,No,NONE,551,,,,DVRPC,0,Fatal Injury,10067238
4032183,2012110712-18163-AC,12-18163-AC,2012,MERCER,Lawrence Twp (Mercer Co),5/7/2012 0:00,Monday,May,12/31/1899 9:38,1,LAWRENCE TWP PD,,1,0,0,0,0,Fatal,Not At Intersection,No,No,Pedalcyclist,1,US 1,NULL,1,,1,7.01,State Highway,Straight and Level,Blacktop,Dry,Daylight,Overcast,Barrier Median,None,1400,Foot,South,GROVERS MILL ROAD,NULL,,NULL,55,40,0,0,No,,176,438466.15,529329.5,,DVRPC,0,Fatal Injury,12089951
4310174,201311012013-6842,2013-6842,2013,MERCER,East Windsor Township,3/11/2013 0:00,Monday,March,12/31/1899 13:05,1,WEST WINDSOR TWP PD,2013-6842,1,0,0,0,0,Fatal,Not At Intersection,No,No,Pedalcyclist,1,ROUTE 535,South,535,,535,10.77,County,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,1320,Foot,South,ROUTE 571 / HIGHSTSTOWN-PRINCETON R,NULL,,NULL,50,50,0,0,No,NONE,431,473753.140692,528125.188144,,DVRPC,0,Fatal Injury,13118657
5257371,2003110103-1460,03-1460,2003,MERCER,East Windsor Township,1/28/2003 0:00,Tuesday,January,12/31/1899 17:20,1,EAST WINDSOR POLICE,TRAFFIC SAFETY?,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,15.84,State Highway,Curve and Level,Blacktop,Dry,Dark (Street Lights On/ continuous),Clear,None,None,,At,NULL,,NULL,,NULL,,,0,0,No,NONE,551,493297.348106,522624.701889,,DVRPC,0,Moderate Injury,3017825
5259257,20031102T2003-778,T2003-778,2003,MERCER,Ewing Township,8/8/2003 0:00,Friday,August,12/31/1899 12:12,1,EWING,P-4,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,1655 OLDEN AVE (COLONIAL CADILLAC),NULL,,,,,Private Property,Straight and Level,Concrete,Dry,Daylight,Clear,None,None,,NULL,NULL,,NULL,,NULL,,,0,0,No,,142,,,,DVRPC,0,Pain,3183205
5259262,20031102T2003-782,T2003-782,2003,MERCER,Ewing Township,8/12/2003 0:00,Tuesday,August,12/31/1899 18:13,1,EWING TWP,TRAFFIC,0,1,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,BROWNING AVE,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,83,Foot,North,ORMOND AVENUE,NULL,,NULL,25,,0,0,No,,139,,,,DVRPC,0,Incapacitating Injury,3183209
5259030,20031102T2003-542,T2003-542,2003,MERCER,Ewing Township,5/27/2003 0:00,Tuesday,May,12/31/1899 17:02,1,EWING TWP,P-3,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,ROCKLEIGH DR,NULL,,,,,Municipal,Curve and Level,Blacktop,Dry,Daylight,Clear,None,None,150,Foot,West,FRAN AVE,NULL,,NULL,25,,0,0,No,NONE,131,,,,DVRPC,0,Pain,3134459
5259031,20031102T2003-543,T2003-543,2003,MERCER,Ewing Township,5/30/2003 0:00,Friday,May,12/31/1899 20:16,1,EWING TWP.,P4,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,MERCER COUNTY 622,NULL,622,,11000622,4.92,County,Straight and Level,Blacktop,Dry,Dusk,Clear,None,None,150,Foot,West,,NULL,,NULL,40,,0,0,No,NONE,156,418170.360874,514729.667681,,DVRPC,0,Moderate Injury,3130314
5259270,20031102T2003-791,T2003-791,2003,MERCER,Ewing Township,8/14/2003 0:00,Thursday,August,12/31/1899 18:18,1,EWING,3,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,MERCER COUNTY 636,NULL,636,,11000636,3.27,County,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,RUNNING BROOK ROAD,NULL,,NULL,40,,0,0,No,,148,418749.57,523226.47,,DVRPC,0,Moderate Injury,3183216
5259101,20031102T2003-616,T2003-616,2003,MERCER,Ewing Township,6/6/2003 0:00,Friday,June,12/31/1899 19:42,1,EWING,T-1,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,SOUTHARD STREET,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,50,Foot,West,CALHOUN STREET),NULL,,NULL,25,,0,0,No,NONE,105,,,,DVRPC,0,Pain,3136218
5258746,20031102T2003-242,T2003-242,2003,MERCER,Ewing Township,3/3/2003 0:00,Monday,March,12/31/1899 15:44,1,EWING TWP,TRAFFIC,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,MERCER COUNTY 627,NULL,627,,11000627,0,County,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,15,Foot,North,PARKWAY AVE. (RT. #634),NULL,,NULL,25,,0,0,No,,139,416715.59,511440.82,,DVRPC,0,Pain,3042766
5261327,2003110303-45221,03-45221,2003,MERCER,Hamilton Twp (Mercer Co),10/28/2003 0:00,Tuesday,October,12/31/1899 13:28,1,HAMILTON TWP.,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,4125 SOUTH BROAD STREET,NULL,,,,,Private Property,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,NULL,NULL,,NULL,,NULL,,,0,0,No,REAR BICYCLE FRAME & RIM WERE SLIGHTLY DAMAGED BY VEHICLE #1,270,,,,DVRPC,1,Pain,3259650
5260689,2003110303-33349,03-33349,2003,MERCER,Hamilton Twp (Mercer Co),8/16/2003 0:00,Saturday,August,12/31/1899 20:17,1,HAMILTON,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,4.64,State Highway,Straight and Level,Blacktop,Dry,Dark (Street Lights On/ continuous),Clear,None,None,25,Foot,West,EVERGREEN AVENUE,NULL,,NULL,40,,0,0,No,,403,442734.32885,509089.578116,,DVRPC,0,Moderate Injury,3198909
5259795,2003110303-15684,03-15684,2003,MERCER,Hamilton Twp (Mercer Co),4/23/2003 0:00,Wednesday,April,12/31/1899 12:25,1,HAMILTON,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,SCHILLER AVE,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,NEW CEDAR LANE,NULL,,NULL,25,,0,0,No,NONE,302,,,,DVRPC,0,Pain,3084898
5260003,2003110303-19560,03-19560,2003,MERCER,Hamilton Twp (Mercer Co),5/19/2003 0:00,Monday,May,12/31/1899 17:35,1,HAM. TWP.,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,EAST PARK AVE,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,BERG AVENUE,NULL,,NULL,25,,0,0,No,NONE,343,,,,DVRPC,0,Moderate Injury,3107802
5260733,2003110303-34278,03-34278,2003,MERCER,Hamilton Twp (Mercer Co),8/22/2003 0:00,Friday,August,12/31/1899 20:15,1,HAMILTON TWP.,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,4.65,State Highway,Straight and Level,Blacktop,Wet,Dark (Street Lights On/ continuous),Rain,None,None,50,Foot,East,,NULL,,NULL,35,,0,0,No,,322,442783.983389,509073.753251,,DVRPC,0,Pain,3207670
5260470,2003110303-28546,03-28546,2003,MERCER,Hamilton Twp (Mercer Co),7/17/2003 0:00,Thursday,July,12/31/1899 8:15,1,HAMILTON,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,KLOCKNER RD,NULL,,,11031976,0.95,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,WILLIAM STREET,NULL,,NULL,35,,0,0,No,NONE,330,433448.898749,512877.605065,,DVRPC,0,Pain,3163499
5260676,2003110303-33137,03-33137,2003,MERCER,Hamilton Twp (Mercer Co),8/15/2003 0:00,Friday,August,12/31/1899 11:22,1,HAMILTON TWP.,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,US 206,NULL,206,,206,39.86,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,Grass Median,None,,At,NULL,SAMDIN BOULEVARD,NULL,,NULL,35,,0,0,No,NONE,366,430412.641686,495993.239262,,DVRPC,0,Moderate Injury,3193640
5259913,2003110303-17802,03-17802,2003,MERCER,Hamilton Twp (Mercer Co),5/7/2003 0:00,Wednesday,May,12/31/1899 18:11,1,HAMILTON TWP.,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,JIMARIE CT,NULL,,,,,Municipal,Curve and Level,Blacktop,Dry,Daylight,Clear,None,None,200,Foot,North,CR 524,NULL,,NULL,25,,0,0,No,,525,,,,DVRPC,0,Moderate Injury,3094093
5259647,2003110303-12560,03-12560,2003,MERCER,Hamilton Twp (Mercer Co),4/1/2003 0:00,Tuesday,April,12/31/1899 14:59,1,HAMILTON TWP.,,0,1,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,JOHNSTON AVENUE,NULL,,,,,Municipal,Straight and Level,Blacktop,Wet,Daylight,Rain,None,None,20,Foot,South,D'ARCY AVE.,NULL,,NULL,30,,0,0,No,,322,,,,DVRPC,0,Incapacitating Injury,3070789
5260827,2003110303-36074,03-36074,2003,MERCER,Hamilton Twp (Mercer Co),9/2/2003 0:00,Tuesday,September,12/31/1899 21:09,1,HAMILTON TWP.,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,S CLINTON AVE,NULL,,,,,Municipal,Straight and Level,Blacktop,Wet,Dark (Street Lights On/ continuous),Rain,None,None,,At,NULL,FETTER AVE.,NULL,,NULL,35,,0,0,No,NONE,366,,,,DVRPC,0,Moderate Injury,3207714
5261627,2003110303-50881,03-50881,2003,MERCER,Hamilton Twp (Mercer Co),12/3/2003 0:00,Wednesday,December,12/31/1899 13:54,1,HAMILTON TWSP,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,4.3,State Highway,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,,NULL,,NULL,40,,0,0,No,,364,441022.700205,509639.931358,,DVRPC,0,Moderate Injury,3301438
5259874,2003110303-16993,03-16993,2003,MERCER,Hamilton Twp (Mercer Co),5/1/2003 0:00,Thursday,May,12/31/1899 7:30,1,HAMILTON TWP.,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,MARY ST,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Dawn,Clear,None,None,,At,NULL,PARKINSON AVENUE,NULL,,NULL,25,,0,0,No,,309,,,,DVRPC,0,Moderate Injury,3094082
5260816,2003110303-35956,03-35956,2003,MERCER,Hamilton Twp (Mercer Co),9/2/2003 0:00,Tuesday,September,12/31/1899 9:07,1,HAMILTON TWP.,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,2.74,State Highway,Straight and Level,Blacktop,Wet,Daylight,Rain,None,None,,At,NULL,,NULL,,NULL,40,,0,0,No,,309,432993.851914,509799.723055,,DVRPC,0,Pain,3207703
5261202,2003110303-42971,03-42971,2003,MERCER,Hamilton Twp (Mercer Co),10/13/2003 0:00,Monday,October,12/31/1899 18:54,1,HAMILTON TWP,,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,2.84,State Highway,Straight and Level,Blacktop,Dry,Dusk,Clear,None,None,,At,East,,NULL,,NULL,40,,0,0,No,NONE,319,433514.87,509847.46,,DVRPC,0,Moderate Injury,3245793
5260682,2003110303-33194,03-33194,2003,MERCER,Hamilton Twp (Mercer Co),8/15/2003 0:00,Friday,August,12/31/1899 17:46,1,HAMILTON TWP.,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,LALOR ST,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,30,Foot,West,JEREMIAH AVENUE,NULL,,NULL,25,,0,0,No,,309,,,,DVRPC,0,Moderate Injury,3193654
5262107,200311030326279,326279,2003,MERCER,Hamilton Twp (Mercer Co),7/2/2003 0:00,Wednesday,July,12/31/1899 18:51,1,HAMILTON TWP,,0,2,2,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,MERCER COUNTY 616,NULL,616,,11000616,0.2,County,Straight at Hillcrest,Concrete,Dry,Daylight,Clear,None,None,1000,Foot,North,,NULL,,NULL,35,,0,0,No,,?32,428361.654671,511774.503349,,DVRPC,0,Incapacitating Injury,3153029
5261938,2003110303-7268,Mar-68,2003,MERCER,Hamilton Twp (Mercer Co),2/23/2003 0:00,Sunday,February,12/31/1899 11:46,1,HAMILTON,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,JOHNSTON AVE,NULL,,,,,Municipal,Straight and Level,Blacktop,Wet,Daylight,Rain,None,None,300,Foot,West,HAMILTON AVE.,NULL,,NULL,25,,0,0,No,,401,,,,DVRPC,0,Pain,3046979
5260877,2003110303-37136,03-37136,2003,MERCER,Hamilton Twp (Mercer Co),9/9/2003 0:00,Tuesday,September,12/31/1899 18:21,1,HAMILTON TWP,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,BROOK LANE,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,60,Foot,East,HAMILTON AVE,NULL,,NULL,25,,0,0,No,,325,,,,DVRPC,0,Pain,3220765
5260054,2003110303-20251,03-20251,2003,MERCER,Hamilton Twp (Mercer Co),5/24/2003 0:00,Saturday,May,12/31/1899 9:42,1,HAMILTON TWP P.D.,P-3,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,LIBERTY ST,NULL,,,,,Municipal,Straight and Level,Blacktop,Dry,Daylight,Clear,None,None,,At,NULL,RT 620,NULL,,NULL,25,,0,0,No,,374,,,,DVRPC,0,Pain,3111025
5262722,2.0031104200304E+016,200304023,2003,MERCER,Hightstown Borough,7/11/2003 0:00,Friday,July,12/31/1899 15:45,1,HIGHTSTOWN,BOROUGH,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,MAIN STREET PARKING LOT,NULL,,,,,Private Property,Straight and Grade,Concrete,Dry,Daylight,Clear,None,None,,At,NULL,,NULL,,NULL,,,0,0,No,NONE,111,,,,DVRPC,0,Pain,3181920
5262733,2.00311042003047E+016,200304797,2003,MERCER,Hightstown Borough,8/11/2003 0:00,Monday,August,12/31/1899 20:15,1,HIGHTSTOWN,,0,0,1,0,0,Injury,Not At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,13.55,State Highway,Straight and Level,Blacktop,Dry,Dusk,Clear,None,None,200,Foot,South,SUMMIT STREET,NULL,,NULL,35,,0,0,No,,110,482691.145183,521203.623957,,DVRPC,0,Moderate Injury,3284675
5262746,2.00311042003057E+016,200305708,2003,MERCER,Hightstown Borough,9/19/2003 0:00,Friday,September,12/31/1899 7:32,1,HIGHTSTOWN,PATROL,0,0,1,0,0,Injury,At Intersection,No,No,Pedalcyclist,1,NJ 33,NULL,33,,33,14.11,State Highway,Straight and Level,Blacktop,Wet,Daylight,Clear,None,None,,At,NULL,ROGERS AVENUE,NULL,,NULL,25,,0,0,No,,110,485310.925462,522742.324158,,DVRPC,0,Pain,3284690
