reading: ../download/bike_crashes.csv
0 HOMECREST AVE and DOUGLAS AVENUE, Ewing Township, NJ
1 US 130 and CR 571, East Windsor Township, NJ
2 MERCER COUNTY 622 and CUNNINGHAM ALLEY, Trenton City, NJ
3 HARRISON ST and TERHUNE ROAD, Princeton Township, NJ
4 DUTCH NECK RD and WILMOR DRIVE, East Windsor Township, NJ
5 US 1 and GROVERS MILL ROAD, Lawrence Twp (Mercer Co), NJ
6 ROUTE 535 and ROUTE 571 / HIGHSTSTOWN-PRINCETON R, East Windsor Township, NJ
7 NJ 33, East Windsor Township, NJ
8 1655 OLDEN AVE (COLONIAL CADILLAC), Ewing Township, NJ
9 BROWNING AVE and ORMOND AVENUE, Ewing Township, NJ
10 ROCKLEIGH DR and FRAN AVE, Ewing Township, NJ
11 MERCER COUNTY 622, Ewing Township, NJ
12 MERCER COUNTY 636 and RUNNING BROOK ROAD, Ewing Township, NJ
13 SOUTHARD STREET and CALHOUN STREET), Ewing Township, NJ
14 MERCER COUNTY 627 and PARKWAY AVE. (RT. #634), Ewing Township, NJ
15 4125 SOUTH BROAD STREET, Hamilton Twp (Mercer Co), NJ
16 NJ 33 and EVERGREEN AVENUE, Hamilton Twp (Mercer Co), NJ
17 SCHILLER AVE and NEW CEDAR LANE, Hamilton Twp (Mercer Co), NJ
18 EAST PARK AVE and BERG AVENUE, Hamilton Twp (Mercer Co), NJ
19 NJ 33, Hamilton Twp (Mercer Co), NJ
20 KLOCKNER RD and WILLIAM STREET, Hamilton Twp (Mercer Co), NJ
21 US 206 and SAMDIN BOULEVARD, Hamilton Twp (Mercer Co), NJ
22 JIMARIE CT and CR 524, Hamilton Twp (Mercer Co), NJ
23 JOHNSTON AVENUE and D'ARCY AVE., Hamilton Twp (Mercer Co), NJ
24 S CLINTON AVE and FETTER AVE., Hamilton Twp (Mercer Co), NJ
25 NJ 33, Hamilton Twp (Mercer Co), NJ
26 MARY ST and PARKINSON AVENUE, Hamilton Twp (Mercer Co), NJ
27 NJ 33, Hamilton Twp (Mercer Co), NJ
28 NJ 33, Hamilton Twp (Mercer Co), NJ
29 LALOR ST and JEREMIAH AVENUE, Hamilton Twp (Mercer Co), NJ
30 MERCER COUNTY 616, Hamilton Twp (Mercer Co), NJ
31 JOHNSTON AVE and HAMILTON AVE., Hamilton Twp (Mercer Co), NJ
32 BROOK LANE and HAMILTON AVE, Hamilton Twp (Mercer Co), NJ
33 LIBERTY ST and RT 620, Hamilton Twp (Mercer Co), NJ
34 MAIN STREET PARKING LOT, Hightstown Borough, NJ
35 NJ 33 and SUMMIT STREET, Hightstown Borough, NJ
36 NJ 33 and ROGERS AVENUE, Hightstown Borough, NJ
37 MERCER COUNTY 613, Lawrence Twp (Mercer Co), NJ
38 PRINCETON PIKE and PRINCESS RD., Lawrence Twp (Mercer Co), NJ
39 ROUTE 533, Lawrence Twp (Mercer Co), NJ
40 US 206, Lawrence Twp (Mercer Co), NJ
41 NORTH HARRISONSTREET, Princeton Borough, NJ
42 WITHERSPOON ST and MACLEAN STREET, Princeton Borough, NJ
43 PAUL ROBESON PL and WITHERSPOON STREET, Princeton Borough, NJ
44 MOORE STREET and ST 27, Princeton Borough, NJ
45 NJ 27, Princeton Borough, NJ
46 MOUNT LUCAS RD and POOR FARM ROAD, Princeton Township, NJ
47 BIRCH AVE and JOHN STREET, Princeton Township, NJ
48 WITHERSPOON STREET and HENRY AVENUE, Princeton Township, NJ
49 RIVERSIDE DRIVE and PROSPECT AVENUE, Princeton Township, NJ
50 BERNARD STREET and CALHOUN ST, Trenton City, NJ
51 LANDING ST and NORWOOD ALLEY, Trenton City, NJ
52 PERRY ST and CARROLL STREET, Trenton City, NJ
53 WOOD ST and SHEPPARD ALLEY, Trenton City, NJ
54 FULD ST and NEW YORK AVENUE, Trenton City, NJ
